,ts,contract_address,evt_tx_hash,evt_tx_from,evt_tx_to,evt_index,evt_block_time,evt_block_number,amount0,amount1,sender,to
563,2024-07-09 14:39:49,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x92687166d6f17d5d64d5c419f3437ff4927c74c5c96176d8d51e14860548c2ed,0x541622f9093cfd45390d9354a31614e5bbefcbd1,0x7135ba051fcba0d3bde77add0601d8b69c91ece1,128,2024-07-09 14:39:49.000 UTC,16873321.0,1015533853210106152,3119499391,0xcd4257699b48d4791e77116d0e6a3bd48ad9567f,0x541622f9093cfd45390d9354a31614e5bbefcbd1
564,2024-07-09 23:46:11,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xec92df4dbe052aa8623587d1fa1d95ee88f947fc28d97cc19d1538653f0ee1ca,0x78501b5d80f23c61a4f3a144213322caac6cbaf2,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,163,2024-07-09 23:46:11.000 UTC,16889712.0,670189344294473866,2055953002,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
565,2024-07-10 01:27:29,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xbfb7e7113901ddd9fbe0477efc63aa0469cc377584ec88af4d29bf75908e5eff,0x09a8fbeb7c85c89c3120bfb305e92409fed14592,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,23,2024-07-10 01:27:29.000 UTC,16892751.0,7005200216310775,21313282,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
566,2024-07-10 01:38:59,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xd138b96dbc90646ff1c5b2a8a783dd2682e58c0e1f0af90f16cbaed8631fb3c6,0xf0308f36d2af8884276f9f14dc5c0812d3a2a3a0,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,78,2024-07-10 01:38:59.000 UTC,16893096.0,7805022327229603,23854643,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
567,2024-07-10 01:48:51,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x00f0d086ba3a3184f108954356c2b32ddcbcf7bbdf9512fba6fa3a68927d381d,0x2908be27b0fd9494710dbef5b4433fbb503afce0,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,256,2024-07-10 01:48:51.000 UTC,16893392.0,8781837991276446,26832855,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
568,2024-07-10 05:00:55,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xa58e27dfa1f00643a334445543f054fed4cd30fe2154fb63004a865fb916b235,0x294fd17c700331aad5cc480400050e1005d2c531,0x7135ba051fcba0d3bde77add0601d8b69c91ece1,48,2024-07-10 05:00:55.000 UTC,16899154.0,30937175126460181,96310704,0xcd4257699b48d4791e77116d0e6a3bd48ad9567f,0x294fd17c700331aad5cc480400050e1005d2c531
569,2024-07-10 05:51:07,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x23bf464f1b11b4d31caec31a39b61ba90354fcad633d0ff53a1dca5bdb86f956,0xa69b71e6e192178e6b28675ed4f43bd8695d816c,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,146,2024-07-10 05:51:07.000 UTC,16900660.0,6597835392620343,20515396,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
570,2024-07-10 07:47:45,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x9157bfca1da6ea01c4add291d2e9757c4822fe92ed6b6fc53b0f201735926981,0xb504bfd60fcaf9c2e9838d0fc7696343ab596622,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,174,2024-07-10 07:47:45.000 UTC,16904159.0,328603504379397,1016409,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
571,2024-07-10 10:01:35,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x9d39a32fdd34d48c764f9c750bc89137b2c6f48900d432d29ea702c8e2040e66,0xf1b93a404d20d0c8b374b16b6d293228c777635d,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,183,2024-07-10 10:01:35.000 UTC,16908174.0,4004278605609556,12355695,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
572,2024-07-10 10:39:09,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xb5b5e504145dbc23eafdc805375ef87f561273d0d6d91d443ec58b04f4396e5b,0xd3e878adf8ef9073db4df0660073df3ec0ab98fa,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,350,2024-07-10 10:39:09.000 UTC,16909301.0,8629826023256630,26737491,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
573,2024-07-10 12:34:55,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xd395b14e83c6678df7ddd09986cac6474f4c7b0288ffba36066ce4d1d06a0c63,0x0eb40f9cff4ac3088d8058b89f55afcd9e277c5c,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,134,2024-07-10 12:34:55.000 UTC,16912774.0,525433842682469,1625882,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
574,2024-07-10 12:34:57,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x860d863bbc2abc33824693ccb898034f30d662c94330d01dfd1368d233ab8926,0x153144bf3645518ff00589516df57b8bba0ec6d7,0x2b4cdf1efab71cacb1f4871c9ce08cf9af42f839,72,2024-07-10 12:34:57.000 UTC,16912775.0,498325631625,1541,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
575,2024-07-10 12:54:41,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xa13b82b49f7836bb454d7dfa7643726c8d7ca3859b3d91caac45caa13083852d,0xb5a3e73a3dc7c3e2b24ee370673ea7c50416b5b1,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,305,2024-07-10 12:54:41.000 UTC,16913367.0,1345994665621369546,4161259940,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
576,2024-07-10 14:38:23,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xe6e2b4ba4cd14a0b0be9f979842be4288a382e11438b298d65be078dbf5f01c2,0xc8b91da39c9458c3347c5a70b08fa27470a49622,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,185,2024-07-10 14:38:23.000 UTC,16916478.0,3281648154470903,10205730,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
577,2024-07-11 01:14:41,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x0fcf6ed4c9f57ab3869cbe0477309632f251b7d71b1ef3ca560abb942eb22752,0xa99a67f7cdfb95196849a5c42c03033610c58e7b,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,80,2024-07-11 01:14:41.000 UTC,16935567.0,6448474776814911,19951769,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
578,2024-07-11 01:33:07,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x3194e06214c4855540175ead6a93ffe8f61884f79731a6618e3d1189acf37d1d,0x7c0f9b78ccc4be83a461a16cdd7c6ad9c6c4ff14,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,78,2024-07-11 01:33:07.000 UTC,16936120.0,6432689150183759,19877037,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
579,2024-07-11 01:33:23,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xfdb6503a5dc1ccb4d4049d5d91f8fa4d9cbbde7199dc360025b839a84d8e6d22,0xe1748ba348a329344e1c8849e0a1c2d653efdc7b,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,364,2024-07-11 01:33:23.000 UTC,16936128.0,7420482944507774,22929983,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
580,2024-07-11 02:48:33,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x31ed5a865bb371fa6630a4a82702172a6520f70149a4b58e828eec6adb4eb6f1,0xb5a3e73a3dc7c3e2b24ee370673ea7c50416b5b1,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,389,2024-07-11 02:48:33.000 UTC,16938383.0,1342609409355557693,4174007272,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
581,2024-07-11 03:16:31,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x013b41e44b7bd8f8a3bd13ebd51ac0f93be1a147bd52bfdb32508f731bf1aebc,0x9f1ee6747268816972832bf7536a81b343888982,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,258,2024-07-11 03:16:31.000 UTC,16939222.0,8366350931988471,25918814,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
