,ts,contract_address,evt_tx_hash,evt_index,evt_block_time,evt_block_number,amount0,amount1,sender
338,2024-05-16 20:15:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x31227aeee35e89983b6f26a95d1e6287379ac0981547348d89a72beec3158e1e,40,2024-05-16 20:15:02.000 UTC,211958553.0,247584247790915,731795,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
339,2024-05-17 04:03:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xe930d10719260edad33bcb9adbfffe9f1f92a1bd04c5809c2081cf249545111a,58,2024-05-17 04:03:02.000 UTC,212069392.0,115459864893327,341556,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
340,2024-05-17 13:28:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x7d3c3cad67a2861bfe10f55c203437c5b974d08c86cbfb7524f1ce50f168eab0,43,2024-05-17 13:28:02.000 UTC,212201624.0,133856025458795,413032,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
341,2024-05-17 16:03:42,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x885f20cb10e422064f26d01f60e56f7ee465cb9c614f6b5c089248023a8fccff,64,2024-05-17 16:03:42.000 UTC,212236036.0,3771781364776,11733,0x317346ba5489998bf63b56cf47149497805a6ea9
342,2024-05-17 21:10:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xb2737beaa08996c9748cd280735a3d8db9ab4d6a16dd5591303477941b96b993,42,2024-05-17 21:10:02.000 UTC,212306293.0,109366955478993,338292,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
343,2024-05-18 06:09:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x523f7292047f1aea64e83b8bc10f9b7f570c1d5754ac48fb903f6c2dc9598ab0,40,2024-05-18 06:09:02.000 UTC,212433316.0,127092898454611,395732,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
344,2024-05-18 12:36:01,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x2734e8211c6dfa36452588302171fdc2b85740acd24a98d6c8e2703f6c5ab8e8,59,2024-05-18 12:36:01.000 UTC,212523528.0,90666067443536,285041,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
345,2024-05-18 16:03:45,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xe7a501edf07019b5dafd0e84f0b60eeef4b05d7eb229bb50ff06d374e3a1c289,78,2024-05-18 16:03:45.000 UTC,212570559.0,3750917425422,11661,0x317346ba5489998bf63b56cf47149497805a6ea9
346,2024-05-19 02:36:01,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x5d2cde2b3e0abd78190b30f49e3d0936451fecc99082c8bbc170272e081b27e4,49,2024-05-19 02:36:01.000 UTC,212718062.0,200110398689388,626889,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
347,2024-05-19 16:04:44,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x5dc6679e6bde50865d3cb05ee89ecb29d4b216bb468eb656d01c453ef4cbf828,54,2024-05-19 16:04:44.000 UTC,212907421.0,3814934512215,11714,0x317346ba5489998bf63b56cf47149497805a6ea9
