,ts,contract_address,evt_tx_hash,evt_index,evt_block_time,evt_block_number,amount0,amount1,sender,to
233,2024-07-28 08:11:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xf4cb3d95c17d6af83f3d3f7643cf703cfadf7df69a7fa90f0cefd30fb486fd97,128,2024-07-28 08:11:11.000 UTC,20403766.0,9999999999,3103806774037119199,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xf9c8e74dbf9ae64e03ab54f9dae97f232c104baa
234,2024-07-28 12:25:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xfd80b2dab5467c373642e485fb45cd9e33ff3d549f853653eb6d1da58d422e43,75,2024-07-28 12:25:11.000 UTC,20405030.0,1618955076,496575589997136911,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
235,2024-07-29 00:18:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x95b8cad9813711f3704603040fdd8e9c68292841bd06bc8a4acbfd6c84f301fe,233,2024-07-29 00:18:11.000 UTC,20408588.0,7764969847580,2365297041091600141991,0x4587f31ad6f2ff5296053422f8ccf351db368411,0x4587f31ad6f2ff5296053422f8ccf351db368411
236,2024-07-29 05:59:23,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xeec51deb51a0ed88d53b82249cbc9adeb90ede3a70da2e5a85a408491dd0ef89,295,2024-07-29 05:59:23.000 UTC,20410279.0,9444631,2813117962593900,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
237,2024-07-29 23:50:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x195442dba39668bc90cf6569f9dd9d77c40c4dc98ab633f8c1fbf48d57e105ec,69,2024-07-29 23:50:59.000 UTC,20415624.0,7764969847580,2337152445176369547206,0x4587f31ad6f2ff5296053422f8ccf351db368411,0x4587f31ad6f2ff5296053422f8ccf351db368411
238,2024-07-30 04:39:35,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x43f1599dc7421f7872f72ebe5aad75f1378b151e60dd552a791a8a5658642898,165,2024-07-30 04:39:35.000 UTC,20417054.0,99874556,30122189808453954,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
239,2024-07-30 23:54:35,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x5c6cb0cc022f4d1a0314c96b525875776b235ce303a77e2ddcdf476039463674,438,2024-07-30 23:54:35.000 UTC,20422781.0,7764969847580,2368844652209974627187,0x4587f31ad6f2ff5296053422f8ccf351db368411,0x4587f31ad6f2ff5296053422f8ccf351db368411
240,2024-07-31 05:38:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x95805e106e29ffaaa45acc38d1f6a78bdd7b81047f76817c56465b77187b6f14,213,2024-07-31 05:38:11.000 UTC,20424492.0,20013829,6117455179130745,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
241,2024-07-31 23:55:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xfab929d4d8908e53efe995c18f52e8458f7c5e45e331b142bf46dbc5dcf97855,379,2024-07-31 23:55:47.000 UTC,20429952.0,7764969847580,2403650359455385152418,0x4587f31ad6f2ff5296053422f8ccf351db368411,0x4587f31ad6f2ff5296053422f8ccf351db368411
242,2024-08-02 01:25:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x1ac39ebbadf8a9626ee587f6971c07880c95cb268945658c91f7e21b93e6f7b7,346,2024-08-02 01:25:59.000 UTC,20437564.0,7764969847580,2443498030674431015394,0x4587f31ad6f2ff5296053422f8ccf351db368411,0x4587f31ad6f2ff5296053422f8ccf351db368411
243,2024-08-02 17:46:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xb71d008f0a6ace76b9af71ffee70d295d16de63e3c163c6079929c18dc264939,298,2024-08-02 17:46:47.000 UTC,20442442.0,147230854,48565988144665264,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
244,2024-08-03 00:19:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x6ffaaed98c6b45c01259056279d121033f5c17ab6953add9302fd4d5ffba3953,351,2024-08-03 00:19:47.000 UTC,20444393.0,7764969847580,2596752630977554790410,0x4587f31ad6f2ff5296053422f8ccf351db368411,0x4587f31ad6f2ff5296053422f8ccf351db368411
245,2024-08-03 23:53:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xe072bbb5adf06a40bef8721ca5696b32b5b45cdfe2082da59f8abf133096debd,319,2024-08-03 23:53:47.000 UTC,20451428.0,7764969847580,2671507893611134179947,0x4587f31ad6f2ff5296053422f8ccf351db368411,0x4587f31ad6f2ff5296053422f8ccf351db368411
