,ts,contract_address,evt_tx_hash,evt_index,evt_block_time,evt_block_number,amount0,amount1,sender
48,2024-05-04 19:31:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x6f33d5d9bfdb2fc5e09d5968eb02ee3cc4cc04c0f87d2ab9835fa60ebb0fd52b,317,2024-05-04 19:31:59.000 UTC,19798848.0,1000000,320348799456943,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
49,2024-05-06 08:13:23,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xf0f19b2c06b6b7c0ac87faf08555406d9a55cd383b4dac007cf993436cff8515,136,2024-05-06 08:13:23.000 UTC,19809775.0,200000000,62902553937411013,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
50,2024-05-06 14:54:23,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xb8712197e4c6df958c4b0a8de201d68e235342b0e1ca36ee297fe6ac61700af6,220,2024-05-06 14:54:23.000 UTC,19811767.0,2000000,645161233250232,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
51,2024-05-07 07:12:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x69e7246ad7c085f6dbfeecebc532e65662217f98e347f25595dc7db7a7a9ddde,276,2024-05-07 07:12:59.000 UTC,19816620.0,3068871,1000000000000000,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
52,2024-05-07 23:17:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x2a7822160dee78704c1f2e619801319e29f835b85e5b9841c9386481e787c597,360,2024-05-07 23:17:11.000 UTC,19821411.0,7764969847581,2573589613104492982132,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
53,2024-05-08 15:44:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa63c4b4c540de187a96e6e9b2788c080a7e9427d23a4be97f1c09628f2a6ceab,340,2024-05-08 15:44:47.000 UTC,19826315.0,14899969,4977009615665053,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
54,2024-05-10 09:06:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xc5d5d59ebc7ca13fe9568a21d3c6f05751cffe01f241cac3402470cef289b923,46,2024-05-10 09:06:11.000 UTC,19838631.0,1099959929394,362105543333844440680,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
55,2024-05-11 01:11:35,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x9b443bbda2cd8091483261dc55ca3d805b1885e88992865e593894fc35a2a9ee,193,2024-05-11 01:11:35.000 UTC,19843431.0,7764969847581,2662337358216298146921,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
56,2024-05-11 12:54:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x402c04f7815bcca24ebe12df7a4e1a5331d1de6f12163b3d6df0dcb044fc948b,133,2024-05-11 12:54:11.000 UTC,19846917.0,3542009269781,1220989684454178813718,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
57,2024-05-11 16:27:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xcd4c3a0ee4a20c6a87554e82b843d76481848df378f5d0d057adc87295652e0b,430,2024-05-11 16:27:11.000 UTC,19847975.0,500000000,171043361094811832,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
