,ts,contract_address,evt_tx_hash,evt_index,evt_block_time,evt_block_number,amount0,amount1,sender,to
36,2024-03-27 20:44:55,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x1ee2e173b1cd0ddb1b10f5d8275da1432d97fa2bda494ef23c1121095bcd3166,12,2024-03-27 20:44:55.000 UTC,194865393.0,570917119617793,1999970,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
37,2024-03-27 22:17:48,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x53f14d67e8a4cf2be1985bd610c10951618aa2c849916a376838ddd0612fc4ac,6,2024-03-27 22:17:48.000 UTC,194887500.0,9995046137661,35074,0xa5644e29708357803b5a882d272c41cc0df92b34,0xa5644e29708357803b5a882d272c41cc0df92b34
38,2024-03-28 02:44:03,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xf2f7281b759aae788545d2b0cd19540dcdfb4903e0973ab5d8907137269ce0b9,6,2024-03-28 02:44:03.000 UTC,194951003.0,8590293575472,29914,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
39,2024-03-28 03:18:00,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xe83b997431f6e4e2be462d9d09300e74a710a1b631fcc59292345c8573402f5f,10,2024-03-28 03:18:00.000 UTC,194959119.0,1437348554427183,5000014,0xa5644e29708357803b5a882d272c41cc0df92b34,0xa5644e29708357803b5a882d272c41cc0df92b34
40,2024-03-28 05:22:36,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x0810182ddde7b848399f61997d663f8d4a5a42a8c5ceb613f860a0fbc4e03f60,6,2024-03-28 05:22:36.000 UTC,194988976.0,285543904723519,1001808,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
41,2024-03-28 05:39:40,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x5c4529db81822a464c31c04e24fb395c8cd1a98aa9cb33d7476708530eb9ced3,13,2024-03-28 05:39:40.000 UTC,194993059.0,1761484298398111039,6204496982,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
42,2024-03-28 07:50:21,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x12231f5a2e47083276b3b23080b978282a3501eb24b8c8e5e561ad2d6e33653e,10,2024-03-28 07:50:21.000 UTC,195024402.0,280178846775432,999999,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
43,2024-03-28 08:14:24,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xc1749315642223ab80c27065bb60050786ce481819c93d50ea0a6c2761b8d3d8,34,2024-03-28 08:14:24.000 UTC,195030167.0,9978502436097,35641,0xa5644e29708357803b5a882d272c41cc0df92b34,0xa5644e29708357803b5a882d272c41cc0df92b34
44,2024-03-28 08:37:09,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x5e90bd05d41ff08933cb1611d50b798aae5ba4443665beb73ac95d20caf9451b,19,2024-03-28 08:37:09.000 UTC,195035635.0,3999999849581331,14285623,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
45,2024-03-28 09:19:59,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x3f24d1f152ace5b8b9dd8c715a63b0fcc7c1ea23e43d92de1fc08dff15149440,7,2024-03-28 09:19:59.000 UTC,195045913.0,279402077896853,1000619,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
46,2024-03-28 09:35:09,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x5c7cbf1032c985f92ccd6919bf3617990ca038471042d76894da6a5cba600222,11,2024-03-28 09:35:09.000 UTC,195049545.0,1407299143660425,5039944,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
47,2024-03-28 09:45:12,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x1422721c63129b3ccec2ebf8c5e21022f88062e271d5b4f841e77dac9877382f,6,2024-03-28 09:45:12.000 UTC,195051962.0,999955015815444,3580854,0xa5644e29708357803b5a882d272c41cc0df92b34,0xa5644e29708357803b5a882d272c41cc0df92b34
48,2024-03-28 12:14:10,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x94cd284a6c0c1de26a1155b40e3a0315782d3059b394e1a171a2fc448ecac9f2,7,2024-03-28 12:14:10.000 UTC,195087554.0,1747325019774335405,6254953250,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
49,2024-03-28 12:17:23,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x33913d7910ff34ba1b74c1205a1b5ea1bd419082ca4da4c9462807f89bf3c97b,39,2024-03-28 12:17:23.000 UTC,195088323.0,997206357901436,3562971,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
50,2024-03-28 12:19:31,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xf9f5fbb46b83c64e8edc9dd8461eb63d7e6defc6cad928e849e2a92621a92b8f,14,2024-03-28 12:19:31.000 UTC,195088838.0,109738372886451,392089,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
51,2024-03-28 12:20:46,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xb27469080c9e214398ab3c592881165067cdb90913577f3229be60a149f02309,6,2024-03-28 12:20:46.000 UTC,195089135.0,997494337787,3563,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
52,2024-03-28 12:35:56,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xc676b88eb1ea6b22609b1a2553be7cdef757b1dd7b51041bc424f7fc92b43436,8,2024-03-28 12:35:56.000 UTC,195092772.0,280062632570534,998995,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
53,2024-03-28 15:14:12,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x224375531f5a34886b904cbe7feaf545532c3a92c20cc61e3da30fa345dbe810,6,2024-03-28 15:14:12.000 UTC,195130487.0,5007425828741786,18021803,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
54,2024-03-29 01:04:35,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x6d1ce18f2b88e17ffe9dcbb1ac5e4b695c275a2350056fd83419e0d55e50e18d,24,2024-03-29 01:04:35.000 UTC,195270594.0,14025252891091850,49999999,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
